variant,k,N,fit_lam,fit_weight_tol,mean_n_sequences,mean_n_observed_cells,mean_mean_sq_residual_constraints,mean_err_fit_U_vs_exhaustive,mean_err_fit_pred_state_frob,mean_err_fit_pred_state_trace,mean_prefactor_fit_pred,mean_err_trunc_r4_pred_state_frob,mean_err_trunc_r8_pred_state_frob,mean_err_trunc_r16_pred_state_frob,mean_err_trunc_r32_pred_state_frob,mean_err_trunc_r4_pred_state_trace,mean_err_trunc_r8_pred_state_trace,mean_err_trunc_r16_pred_state_trace,mean_err_trunc_r32_pred_state_trace,std_n_sequences,std_n_observed_cells,std_mean_sq_residual_constraints,std_err_fit_U_vs_exhaustive,std_err_fit_pred_state_frob,std_err_fit_pred_state_trace,std_prefactor_fit_pred,std_err_trunc_r4_pred_state_frob,std_err_trunc_r8_pred_state_frob,std_err_trunc_r16_pred_state_frob,std_err_trunc_r32_pred_state_frob,std_err_trunc_r4_pred_state_trace,std_err_trunc_r8_pred_state_trace,std_err_trunc_r16_pred_state_trace,std_err_trunc_r32_pred_state_trace
sis_local_fit_ls,2,170,1e-08,1e-30,170.0,170.0,2.6410535144923664e-17,0.6825743979938457,0.5608806280694187,0.39660249554405586,7.312988679083454,0.4264803311426497,0.5998511872107811,0.5909205043908272,0.5608806280694189,0.30156713419365194,0.4241588421795446,0.4178438957969289,0.3966024955440559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,172,1e-08,1e-30,172.0,172.0,2.614607630784274e-17,0.6651868105779829,0.460997935234072,0.3259747661170091,6.045931240255165,0.3310927892290568,0.3828761387389498,0.4893968839009437,0.4609979352340717,0.23411795646583436,0.2707343140568328,0.34605585529792277,0.32597476611700893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,174,1e-08,1e-30,174.0,174.0,2.762229545404314e-17,0.6391918723816282,0.448908023010178,0.31742590719954356,5.921503515441474,0.2525030657335455,0.40303865839906955,0.42191236123013637,0.4489080230101778,0.17854663005058255,0.28499136843431055,0.29833709169225764,0.3174259071995434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,176,1e-08,1e-30,176.0,176.0,2.1890303816620974e-17,0.6711672512303816,0.4800402598225854,0.3394397229631023,6.368453704384936,0.3845915764607047,0.47259242008376806,0.4620869357176316,0.4800402598225854,0.27194731170258885,0.33417330497859393,0.32674480574364956,0.3394397229631023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,178,1e-08,1e-30,178.0,178.0,2.495688414755631e-17,0.6144773769416283,0.2644448450790717,0.1869907432052376,3.528134286534906,0.284887751428353,0.3322551846810645,0.2702205090626845,0.26444484507907157,0.20144606091197592,0.2349398941723694,0.1910747543739051,0.18699074320523748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,180,1e-08,1e-30,180.0,180.0,2.450588619323972e-17,0.6023854619853785,0.3412503899948242,0.24130046484789414,4.578354416260447,0.36142502269228344,0.3244678663465672,0.39088688376712594,0.34125038999482493,0.2555660844362155,0.22943342857078808,0.27639876618861253,0.2413004648478946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,182,1e-08,1e-30,182.0,182.0,2.2878504084256432e-17,0.5926054089668681,0.26479355951287337,0.18723732154607642,3.5722604198222396,0.22488327344324813,0.2245511243167507,0.26924628800761946,0.26479355951287326,0.1590164876271494,0.15878162272743787,0.19038587605949395,0.18723732154607628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,184,1e-08,1e-30,184.0,184.0,1.697198369515719e-17,0.7109933531113085,0.7044956256569476,0.4981536342182871,9.55624360974742,0.5849830706359049,0.6667662365479349,0.7166418274557741,0.7044956256569472,0.4136454961259776,0.47147492732927826,0.5067422958758975,0.49815363421828684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,186,1e-08,1e-30,186.0,186.0,2.012718657950558e-17,0.6310986467974751,0.5875688893197498,0.415473946052243,8.01337127203892,0.4514315511549462,0.5548229750032975,0.5752874492147825,0.5875688893197494,0.3192103110632243,0.392319087982926,0.4067896564712843,0.41547394605224275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,188,1e-08,1e-30,188.0,188.0,2.257288237533013e-17,0.5555206354577806,0.3342325104610279,0.23633807463999648,4.582765295891472,0.2308186840416545,0.28167530185032974,0.33620811927062916,0.33423251046102775,0.16321345671040902,0.19917451603113587,0.2377350410262374,0.23633807463999643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,190,1e-08,1e-30,190.0,190.0,2.218205289549629e-17,0.5513562429561839,0.29030238658165625,0.20527478614652772,4.001542249489692,0.2571371772880818,0.2923879134684136,0.30748251646156916,0.2903023865816546,0.1818234417555701,0.20674947635050067,0.21742297248627981,0.20527478614652658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,192,1e-08,1e-30,192.0,192.0,1.9967512190171658e-17,0.5568279096324469,0.4769117164089942,0.33722750870011553,6.608282588362062,0.2770793542000239,0.4609853166853606,0.44650189478360924,0.47691171640899394,0.19592469028162615,0.3259658434556466,0.3157245176141324,0.3372275087001153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,194,1e-08,1e-30,194.0,194.0,2.2186382001041784e-17,0.5058543586765458,0.4401669367890039,0.31124502585761504,6.130816002376005,0.41676819404770854,0.419754430524218,0.4304583224707808,0.4401669367890037,0.29469961619400564,0.2968112042567721,0.30437999883727473,0.311245025857615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,196,1e-08,1e-30,196.0,196.0,2.0761750081693846e-17,0.5024145951837552,0.5110628260143347,0.3613759898870968,7.154879564200686,0.31787388444967074,0.39442221142467754,0.5010879614405442,0.5110628260143354,0.22477077925647124,0.2788986203489836,0.3543226955055521,0.36137598988709724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,198,1e-08,1e-30,198.0,198.0,2.2327818289455853e-17,0.4493044579434438,0.319353466974001,0.22581700209275024,4.493701603347317,0.1426985441817443,0.15349990872095076,0.2530677607898126,0.31935346697400147,0.10090310825635952,0.1085408263681004,0.17894592975417156,0.22581700209275066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,200,1e-08,1e-30,200.0,200.0,1.7961307232975217e-17,0.5692667660722837,0.5720657964826005,0.40451160397773017,8.090232079554605,0.34416995924111254,0.43049188296547314,0.5013964034092295,0.5720657964826007,0.24336491206008837,0.30440372969065166,0.35454079691321194,0.4045116039777303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,202,1e-08,1e-30,202.0,202.0,1.9838264684580602e-17,0.45267620545680753,0.23537743882040263,0.16643698312822838,3.3453419583865833,0.16326939252512873,0.21681545931840163,0.24764886717228304,0.2353774388204015,0.1154488946147267,0.1533116815501178,0.1751141933306879,0.1664369831282276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,204,1e-08,1e-30,204.0,204.0,1.8970590991720128e-17,0.49530023949009194,0.3807035170909962,0.2691980385566121,5.437533839599778,0.3834810189852576,0.3457452635040905,0.3718507337463836,0.3807035170909961,0.2711620289808028,0.2444788203868721,0.26293817542126124,0.269198038556612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,206,1e-08,1e-30,206.0,206.0,1.918169824873578e-17,0.46971957059472286,0.458261869012101,0.32404007513767796,6.577295170633258,0.25633505192849165,0.3156449333333064,0.38812947130563263,0.4582618690121012,0.18125625347444227,0.22319467280715669,0.27444898113856236,0.32404007513767813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,208,1e-08,1e-30,208.0,208.0,1.7795849299953396e-17,0.4878382203139602,0.3965499461134279,0.2804031559759648,5.719124655977785,0.20724462675766067,0.298499788139202,0.4133206895819443,0.3965499461134276,0.1465440809448169,0.21107122437597745,0.2922618624080929,0.2804031559759646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,210,1e-08,1e-30,210.0,210.0,2.0473111119121807e-17,0.3468738310890493,0.17931800967861844,0.1267969806326261,2.5985648356297038,0.11236038900361432,0.14354420771587661,0.1668722636054882,0.17931800967861647,0.07945079300121405,0.1015010826759467,0.11799650918738984,0.12679698063262468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,212,1e-08,1e-30,212.0,212.0,1.6676575402308536e-17,0.4910518700552969,0.25641893780771746,0.1813155697484886,3.73351608986554,0.29268758995960287,0.28232950501395654,0.27152660290490693,0.25641893780771724,0.20696137962958283,0.19963710752441002,0.1919983021866066,0.18131556974848842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,214,1e-08,1e-30,214.0,214.0,1.8619483189582602e-17,0.38339885170261767,0.4799818364938127,0.33939841143114763,7.021528933208939,0.22931912613524294,0.32240872512403873,0.5085333317167378,0.47998183649381326,0.16215310914600353,0.22797739584891738,0.3595873673162933,0.3393984114311481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,216,1e-08,1e-30,216.0,216.0,1.7061132060244206e-17,0.44131137256667474,0.24920311920617944,0.17621321548352906,3.662522906190661,0.1429628034996317,0.24132488805165808,0.26227927282745156,0.24920311920617957,0.10108996781202945,0.1706424648104119,0.18545945238096762,0.1762132154835291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,218,1e-08,1e-30,218.0,218.0,1.7480255436679953e-17,0.40119269305010974,0.40154654296492653,0.28393628349251493,5.9287636573255496,0.29870798871347004,0.32590669677072037,0.37060976328619305,0.4015465429649268,0.2112184444138893,0.23045083532068422,0.2620606767936082,0.28393628349251515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,220,1e-08,1e-30,220.0,220.0,1.661178070949659e-17,0.4283322814590991,0.5603442147399376,0.39622319404126083,8.311247835214264,0.3279708651379467,0.3960101511388629,0.5011267923099681,0.5603442147399373,0.23191042277066076,0.2800214632889995,0.35435015307664103,0.39622319404126066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,222,1e-08,1e-30,222.0,222.0,1.7472704204513033e-17,0.3351036061031563,0.29898464717749984,0.21141407148987748,4.45477091139641,0.12303616982457206,0.18715579612333635,0.29880936217088294,0.29898464717749934,0.08699971001417457,0.1323391325771781,0.21129012627305832,0.21141407148987712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,224,1e-08,1e-30,224.0,224.0,1.6806464077362892e-17,0.3128942622451813,0.4097508264385034,0.2897375879714579,6.132588825921414,0.24784248148864493,0.3730011685519048,0.41716294058378994,0.40975082643850347,0.17525109932672223,0.2637516556735583,0.29497874414651865,0.2897375879714579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,226,1e-08,1e-30,226.0,226.0,1.7364080232246313e-17,0.2830319703899271,0.18778696648136706,0.13278543741742554,2.82305712310997,0.0660065729598292,0.159318188301127,0.15816697678911806,0.18778696648136747,0.04667369534277984,0.11265497131408216,0.11184094184736064,0.13278543741742582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,228,1e-08,1e-30,228.0,228.0,1.590134765456849e-17,0.351338214702074,0.1924102259539475,0.1360545755416721,2.905330699210677,0.14990336318152966,0.19897436030426377,0.17538214204425573,0.1924102259539471,0.10599768462832948,0.1406961194534003,0.12401390193851554,0.13605457554167188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,230,1e-08,1e-30,230.0,230.0,1.7368743473364354e-17,0.18622008255604483,0.08859027022074549,0.06264278082023779,1.3435379692775646,0.04610371992814774,0.061888396210637166,0.0656739715078241,0.08859027022074499,0.032600252999118624,0.04376170463730136,0.04643851060063453,0.06264278082023743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,232,1e-08,1e-30,232.0,232.0,1.5945804043939523e-17,0.3007435470388366,0.16985121774885545,0.12010294786300856,2.587096672259936,0.10343795273781653,0.1864993429908108,0.20139898071965998,0.16985121774885473,0.07314167781296368,0.13187495011563813,0.14241058499093026,0.12010294786300806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,234,1e-08,1e-30,234.0,234.0,1.4826345641879307e-17,0.36427494396706134,0.3698533491214493,0.26152581120833235,5.657668333013745,0.21367799362400283,0.270301955557484,0.36461741359548366,0.3698533491214489,0.15109315828186828,0.19113234574268176,0.2578234456920666,0.2615258112083321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,236,1e-08,1e-30,236.0,236.0,1.390244582188975e-17,0.4001818307556426,0.4717096823149251,0.33354911511623553,7.2465416410834775,0.3954356915121422,0.42544340454529594,0.46033165973259166,0.47170968231492466,0.2796152589914275,0.30083391636507045,0.3255036381917739,0.3335491151162353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,238,1e-08,1e-30,238.0,238.0,1.57811214761445e-17,0.2007135459563013,0.20670350737153906,0.1461614517574588,3.1888663989586683,0.14878873552159166,0.22488484233467362,0.1889892408668342,0.20670350737153906,0.1052095238514892,0.1590175970009153,0.13363557378823623,0.1461614517574588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,240,1e-08,1e-30,240.0,240.0,1.4668294276127282e-17,0.2853403150432315,0.2984591447761063,0.21104248517832236,4.623709188964672,0.165250204400839,0.21502908816342559,0.26429392764437704,0.2984591447761062,0.11684954012429631,0.15204852639271818,0.18688402846376576,0.21104248517832225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,242,1e-08,1e-30,242.0,242.0,1.542975019660698e-17,0.1761161347989343,0.08301355571462592,0.05869944817621927,1.2913878598768236,0.05358635539975224,0.13215549462054044,0.07079605083383367,0.08301355571462445,0.03789127528223717,0.09344804641724642,0.050060367625831326,0.05869944817621823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,244,1e-08,1e-30,244.0,244.0,1.4809158100692442e-17,0.18479885976196528,0.08476882615656917,0.05994061180853364,1.3241313940326636,0.10092640997739487,0.09484624124605313,0.06740951936115534,0.08476882615656918,0.07136574889582954,0.06706642035513939,0.0476657282567988,0.05994061180853366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,246,1e-08,1e-30,246.0,246.0,1.440650769278384e-17,0.18055434443116702,0.0747131147520365,0.052830150084733705,1.171829416307655,0.036433982288769276,0.09848023926232041,0.0563208220491459,0.07471311475203647,0.025762715942019315,0.06963604499526044,0.0398248351929519,0.052830150084733664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,248,1e-08,1e-30,248.0,248.0,1.4810072783943297e-17,0.0732859948846845,0.06358037632386608,0.04495811524899832,1.0012647676135114,0.04688069644680464,0.048592203032159165,0.05336950689836228,0.06358037632386596,0.033149658364283636,0.034359876276833255,0.0377379402364142,0.04495811524899823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,250,1e-08,1e-30,250.0,250.0,1.4325471273436924e-17,0.08544738661490259,0.04936580842566448,0.03490689789654336,0.7805419658031537,0.029584582827400504,0.03153558978853659,0.0478435054442441,0.049365808425664626,0.02091945913582997,0.022299029388191463,0.03383046713536052,0.034906897896543464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,252,1e-08,1e-30,252.0,252.0,1.4200207738989717e-17,0.05700854175653541,0.032235694518359316,0.022794078190189884,0.5117257862101608,0.0353484613629629,0.03782404158655209,0.033409196218700025,0.032235694518359316,0.02499513673426172,0.026745636297732966,0.02362386920023474,0.022794078190189897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,254,1e-08,1e-30,254.0,254.0,1.3946351653871717e-17,0.03420988515945043,0.07076185319873757,0.05003618624615431,1.1277583635258044,0.05534232728884005,0.0490053100180543,0.0702434805852571,0.07076185319873916,0.03913293491258412,0.03465198702791524,0.049669641455980885,0.05003618624615545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sis_local_fit_ls,2,256,1e-08,1e-30,256.0,256.0,1.3671871386579939e-17,2.8878783382654308e-08,3.535533592952089e-08,2.4999997791249794e-08,5.656853748723343e-07,2.7781350289228788e-08,4.551999136291504e-08,3.6550457498991175e-08,3.5355334826779835e-08,1.9644381168190226e-08,3.218749456148396e-08,2.584507634698733e-08,2.49999970031791e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
